03/21/21 4:04:35: style.scss - parse error: failed at `border: 2px solid &:not(.has-text-color) {` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/6-styled-components/621-core-blocks/_wp-block-button.scss on line 71, at column 5
03/21/21 4:08:36: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/6-styled-components/621-core-blocks/_wp-block-button.scss on line 197, at column 0
03/21/21 4:08:36: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/6-styled-components/621-core-blocks/_wp-block-button.scss on line 197, at column 0
03/21/21 4:10:36: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/6-styled-components/621-core-blocks/_wp-block-button.scss on line 193, at column 0
03/21/21 4:10:36: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/6-styled-components/621-core-blocks/_wp-block-button.scss on line 193, at column 0
09/09/21 12:05:03: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:05:03: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:05:10: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:05:10: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:05:10: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:05:10: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:05:47: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:05:47: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:06:12: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:06:12: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:06:50: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
